Timestamp,Voltage
2026-03-12 12:25:29,3.80
2026-03-12 12:25:39,3.80
2026-03-12 12:25:49,3.80
2026-03-12 12:25:59,3.79
2026-03-12 12:26:09,3.79
2026-03-12 12:26:19,3.79
2026-03-12 12:26:29,3.80
2026-03-12 12:26:39,3.80
2026-03-12 12:26:49,3.79
2026-03-12 12:26:59,3.80
2026-03-12 12:27:09,3.80
2026-03-12 12:27:19,3.79
2026-03-12 12:27:29,3.79
2026-03-12 12:27:39,3.80
2026-03-12 12:27:49,3.79
2026-03-12 12:27:59,3.79
2026-03-12 12:28:09,3.79
2026-03-12 12:28:19,3.80
2026-03-12 12:28:29,3.80
2026-03-12 12:28:39,3.80
2026-03-12 12:28:49,3.80
2026-03-12 12:28:59,3.80
2026-03-12 12:29:09,3.79
2026-03-12 12:29:19,3.79
2026-03-12 12:29:29,3.79
2026-03-12 12:29:39,3.79
2026-03-12 12:29:49,3.80
2026-03-12 12:29:59,3.79
2026-03-12 12:30:09,3.80
2026-03-12 12:30:19,3.80
2026-03-12 12:30:29,3.80
2026-03-12 12:30:39,3.80
2026-03-12 12:30:49,3.79
2026-03-12 12:30:59,3.79
2026-03-12 12:31:09,3.79
2026-03-12 12:31:19,3.80
2026-03-12 12:31:29,3.80
2026-03-12 12:31:39,3.80
2026-03-12 12:31:49,3.80
2026-03-12 12:31:59,3.79
2026-03-12 12:32:09,3.80
2026-03-12 12:32:19,3.80
2026-03-12 12:32:29,3.80
2026-03-12 12:32:39,3.80
2026-03-12 12:32:49,3.79
2026-03-12 12:32:59,3.80
2026-03-12 12:33:09,3.79
2026-03-12 12:33:19,3.80
2026-03-12 12:33:29,3.80
2026-03-12 12:33:39,3.80
2026-03-12 12:33:49,3.79
2026-03-12 12:33:59,3.80
2026-03-12 12:34:09,3.79
2026-03-12 12:34:19,3.79
2026-03-12 12:34:29,3.80
2026-03-12 12:34:39,3.80
2026-03-12 12:34:49,3.79
2026-03-12 12:34:59,3.80
2026-03-12 12:35:09,3.80
2026-03-12 12:35:19,3.80
2026-03-12 12:35:29,3.80
2026-03-12 12:35:39,3.80
2026-03-12 12:35:49,3.80
2026-03-12 12:35:59,3.80
2026-03-12 12:36:09,3.79
2026-03-12 12:36:19,3.80
2026-03-12 12:36:29,3.80
2026-03-12 12:36:39,3.80
2026-03-12 12:36:49,3.80
2026-03-12 12:36:59,3.79
2026-03-12 12:37:09,3.80
2026-03-12 12:37:19,3.79
2026-03-12 12:37:29,3.79
2026-03-12 12:37:39,3.80
2026-03-12 12:37:49,3.80
2026-03-12 12:37:59,3.80
2026-03-12 12:38:09,3.80
2026-03-12 12:38:19,3.80
2026-03-12 12:38:29,3.79
2026-03-12 12:38:39,3.80
2026-03-12 12:38:49,3.80
2026-03-12 12:38:59,3.80
2026-03-12 12:39:09,3.79
2026-03-12 12:39:19,3.81
2026-03-12 12:39:29,3.80
2026-03-12 12:39:39,3.80
2026-03-12 12:39:49,3.80
2026-03-12 12:39:59,3.80
2026-03-12 12:40:09,3.80
2026-03-12 12:40:19,3.80
2026-03-12 12:40:29,3.81
2026-03-12 12:40:39,3.80
2026-03-12 12:40:49,3.80
2026-03-12 12:40:59,3.80
2026-03-12 12:41:09,3.79
2026-03-12 12:41:19,3.81
2026-03-12 12:41:29,3.80
2026-03-12 12:41:39,3.80
2026-03-12 12:41:49,3.80
2026-03-12 12:41:59,3.80
2026-03-12 12:42:09,3.80
2026-03-12 12:42:19,3.79
2026-03-12 12:42:29,3.80
2026-03-12 12:42:39,3.81
2026-03-12 12:42:49,3.80
2026-03-12 12:42:59,3.79
2026-03-12 12:43:09,3.81
2026-03-12 12:43:19,3.81
2026-03-12 12:43:29,3.81
2026-03-12 12:43:39,3.81
2026-03-12 12:43:49,3.80
2026-03-12 12:43:59,3.80
2026-03-12 12:44:09,3.81
2026-03-12 12:44:19,3.79
2026-03-12 12:44:29,3.79
2026-03-12 12:44:39,3.81
2026-03-12 12:44:49,3.81
2026-03-12 12:44:59,4.61
2026-03-12 12:45:09,3.79
2026-03-12 12:45:19,3.80
2026-03-12 12:45:29,3.80
2026-03-12 12:45:39,3.81
2026-03-12 12:45:49,3.81
2026-03-12 12:45:59,3.79
2026-03-12 12:46:09,3.81
2026-03-12 12:46:19,3.80
2026-03-12 12:46:29,3.81
2026-03-12 12:46:39,3.79
2026-03-12 12:46:49,3.81
2026-03-12 12:46:59,3.81
2026-03-12 12:47:09,3.81
2026-03-12 12:47:19,3.80
2026-03-12 12:47:29,3.80
2026-03-12 12:47:39,3.81
